,Time_series,GSR,HR,timestamp,time2,subject,video_id
323,2135459,501,521,1754036174791,2025-08-01 13:46:14.791749+05:30,11,5
324,2135560,501,524,1754036174892,2025-08-01 13:46:14.892556+05:30,11,5
325,2135661,499,521,1754036174993,2025-08-01 13:46:14.993419+05:30,11,5
326,2135761,495,518,1754036175094,2025-08-01 13:46:15.094450+05:30,11,5
327,2135863,497,520,1754036175195,2025-08-01 13:46:15.195284+05:30,11,5
328,2135963,495,520,1754036175296,2025-08-01 13:46:15.296299+05:30,11,5
329,2136065,496,519,1754036175397,2025-08-01 13:46:15.397075+05:30,11,5
330,2136165,495,517,1754036175498,2025-08-01 13:46:15.498085+05:30,11,5
331,2136266,496,518,1754036175598,2025-08-01 13:46:15.598923+05:30,11,5
332,2136367,499,524,1754036175699,2025-08-01 13:46:15.699722+05:30,11,5
333,2136468,501,524,1754036175800,2025-08-01 13:46:15.800487+05:30,11,5
334,2136568,500,521,1754036175901,2025-08-01 13:46:15.901348+05:30,11,5
335,2136670,501,522,1754036176002,2025-08-01 13:46:16.002288+05:30,11,5
336,2136770,504,523,1754036176103,2025-08-01 13:46:16.103217+05:30,11,5
337,2136871,503,520,1754036176204,2025-08-01 13:46:16.204080+05:30,11,5
338,2136972,505,521,1754036176304,2025-08-01 13:46:16.304924+05:30,11,5
339,2137073,503,521,1754036176405,2025-08-01 13:46:16.405776+05:30,11,5
340,2137174,505,524,1754036176506,2025-08-01 13:46:16.506788+05:30,11,5
341,2137275,504,522,1754036176607,2025-08-01 13:46:16.607624+05:30,11,5
342,2137375,502,523,1754036176708,2025-08-01 13:46:16.708446+05:30,11,5
343,2137477,498,517,1754036176809,2025-08-01 13:46:16.809356+05:30,11,5
344,2137578,500,519,1754036176910,2025-08-01 13:46:16.910214+05:30,11,5
345,2137678,498,519,1754036177011,2025-08-01 13:46:17.011333+05:30,11,5
346,2137780,498,520,1754036177112,2025-08-01 13:46:17.112225+05:30,11,5
347,2137880,496,520,1754036177213,2025-08-01 13:46:17.213013+05:30,11,5
348,2137981,496,520,1754036177313,2025-08-01 13:46:17.313850+05:30,11,5
349,2138082,499,525,1754036177414,2025-08-01 13:46:17.414933+05:30,11,5
350,2138183,499,525,1754036177515,2025-08-01 13:46:17.515681+05:30,11,5
351,2138284,499,523,1754036177616,2025-08-01 13:46:17.616601+05:30,11,5
352,2138385,499,522,1754036177717,2025-08-01 13:46:17.717387+05:30,11,5
353,2138485,501,520,1754036177818,2025-08-01 13:46:17.818370+05:30,11,5
354,2138587,501,520,1754036177919,2025-08-01 13:46:17.919307+05:30,11,5
355,2138687,503,519,1754036178020,2025-08-01 13:46:18.020115+05:30,11,5
356,2138788,503,517,1754036178121,2025-08-01 13:46:18.121123+05:30,11,5
357,2138889,504,520,1754036178221,2025-08-01 13:46:18.221639+05:30,11,5
358,2138990,507,521,1754036178322,2025-08-01 13:46:18.322591+05:30,11,5
359,2139090,506,523,1754036178423,2025-08-01 13:46:18.423377+05:30,11,5
360,2139192,504,523,1754036178524,2025-08-01 13:46:18.524263+05:30,11,5
361,2139292,503,519,1754036178625,2025-08-01 13:46:18.625290+05:30,11,5
362,2139394,501,521,1754036178726,2025-08-01 13:46:18.726057+05:30,11,5
363,2139494,500,522,1754036178826,2025-08-01 13:46:18.826972+05:30,11,5
364,2139595,500,522,1754036178927,2025-08-01 13:46:18.927861+05:30,11,5
365,2139696,498,521,1754036179028,2025-08-01 13:46:19.028670+05:30,11,5
366,2139797,497,520,1754036179129,2025-08-01 13:46:19.129637+05:30,11,5
367,2139897,500,526,1754036179230,2025-08-01 13:46:19.230433+05:30,11,5
368,2139999,499,524,1754036179331,2025-08-01 13:46:19.331341+05:30,11,5
369,2140099,498,521,1754036179432,2025-08-01 13:46:19.432152+05:30,11,5
370,2140200,498,521,1754036179533,2025-08-01 13:46:19.533129+05:30,11,5
371,2140301,499,520,1754036179634,2025-08-01 13:46:19.634025+05:30,11,5
372,2140402,501,517,1754036179735,2025-08-01 13:46:19.735127+05:30,11,5
373,2140504,502,519,1754036179835,2025-08-01 13:46:19.835865+05:30,11,5
374,2140604,503,520,1754036179936,2025-08-01 13:46:19.936819+05:30,11,5
375,2140705,506,521,1754036180037,2025-08-01 13:46:20.037801+05:30,11,5
376,2140806,506,522,1754036180138,2025-08-01 13:46:20.138693+05:30,11,5
377,2140907,506,527,1754036180239,2025-08-01 13:46:20.239529+05:30,11,5
378,2141007,507,524,1754036180340,2025-08-01 13:46:20.340477+05:30,11,5
379,2141109,506,522,1754036180441,2025-08-01 13:46:20.441200+05:30,11,5
380,2141209,504,521,1754036180542,2025-08-01 13:46:20.542016+05:30,11,5
381,2141310,501,518,1754036180642,2025-08-01 13:46:20.642844+05:30,11,5
382,2141411,501,521,1754036180743,2025-08-01 13:46:20.743669+05:30,11,5
383,2141512,500,520,1754036180844,2025-08-01 13:46:20.844581+05:30,11,5
384,2141613,500,522,1754036180945,2025-08-01 13:46:20.945337+05:30,11,5
385,2141714,497,519,1754036181046,2025-08-01 13:46:21.046274+05:30,11,5
