,Time_series,GSR,HR,timestamp,time2,subject,video_id
204,993287,513,510,1754641301363,2025-08-08 13:51:41.363811+05:30,30,8
205,993388,513,509,1754641301464,2025-08-08 13:51:41.464666+05:30,30,8
206,993488,513,510,1754641301565,2025-08-08 13:51:41.565580+05:30,30,8
207,993590,514,506,1754641301666,2025-08-08 13:51:41.666377+05:30,30,8
208,993690,513,513,1754641301767,2025-08-08 13:51:41.767138+05:30,30,8
209,993792,512,519,1754641301868,2025-08-08 13:51:41.867992+05:30,30,8
210,993892,512,511,1754641301969,2025-08-08 13:51:41.969004+05:30,30,8
211,993992,513,510,1754641302069,2025-08-08 13:51:42.069705+05:30,30,8
212,994094,512,511,1754641302170,2025-08-08 13:51:42.170495+05:30,30,8
213,994194,512,511,1754641302271,2025-08-08 13:51:42.271334+05:30,30,8
214,994295,513,509,1754641302372,2025-08-08 13:51:42.372246+05:30,30,8
215,994396,513,509,1754641302473,2025-08-08 13:51:42.473079+05:30,30,8
216,994497,513,508,1754641302573,2025-08-08 13:51:42.573852+05:30,30,8
217,994597,513,520,1754641302674,2025-08-08 13:51:42.674657+05:30,30,8
218,994699,513,514,1754641302775,2025-08-08 13:51:42.775522+05:30,30,8
219,994799,513,511,1754641302876,2025-08-08 13:51:42.876364+05:30,30,8
220,994900,514,509,1754641302977,2025-08-08 13:51:42.977201+05:30,30,8
221,995001,515,509,1754641303078,2025-08-08 13:51:43.078082+05:30,30,8
222,995102,515,506,1754641303178,2025-08-08 13:51:43.178893+05:30,30,8
223,995203,514,506,1754641303279,2025-08-08 13:51:43.279670+05:30,30,8
224,995304,515,510,1754641303380,2025-08-08 13:51:43.380489+05:30,30,8
225,995404,514,507,1754641303481,2025-08-08 13:51:43.481435+05:30,30,8
226,995506,515,519,1754641303582,2025-08-08 13:51:43.582161+05:30,30,8
227,995606,515,510,1754641303682,2025-08-08 13:51:43.682981+05:30,30,8
228,995707,516,509,1754641303783,2025-08-08 13:51:43.783915+05:30,30,8
229,995808,515,511,1754641303884,2025-08-08 13:51:43.884661+05:30,30,8
230,995908,515,508,1754641303985,2025-08-08 13:51:43.985646+05:30,30,8
231,996009,515,509,1754641304086,2025-08-08 13:51:44.086326+05:30,30,8
232,996110,515,509,1754641304187,2025-08-08 13:51:44.187340+05:30,30,8
233,996211,514,509,1754641304288,2025-08-08 13:51:44.288148+05:30,30,8
234,996312,515,518,1754641304388,2025-08-08 13:51:44.388856+05:30,30,8
235,996413,514,513,1754641304489,2025-08-08 13:51:44.489708+05:30,30,8
236,996513,513,510,1754641304590,2025-08-08 13:51:44.590555+05:30,30,8
237,996615,513,510,1754641304691,2025-08-08 13:51:44.691343+05:30,30,8
238,996715,514,508,1754641304792,2025-08-08 13:51:44.792235+05:30,30,8
239,996816,512,510,1754641304893,2025-08-08 13:51:44.893079+05:30,30,8
240,996917,511,510,1754641304993,2025-08-08 13:51:44.993927+05:30,30,8
241,997018,511,510,1754641305094,2025-08-08 13:51:45.094712+05:30,30,8
242,997118,510,516,1754641305195,2025-08-08 13:51:45.195813+05:30,30,8
243,997220,510,517,1754641305296,2025-08-08 13:51:45.296685+05:30,30,8
244,997320,509,508,1754641305397,2025-08-08 13:51:45.397276+05:30,30,8
245,997422,509,510,1754641305498,2025-08-08 13:51:45.498101+05:30,30,8
246,997522,510,509,1754641305599,2025-08-08 13:51:45.598995+05:30,30,8
247,997623,509,508,1754641305699,2025-08-08 13:51:45.699971+05:30,30,8
248,997724,509,509,1754641305800,2025-08-08 13:51:45.800743+05:30,30,8
249,997824,508,508,1754641305901,2025-08-08 13:51:45.901488+05:30,30,8
250,997925,508,509,1754641306002,2025-08-08 13:51:46.002382+05:30,30,8
251,998026,508,516,1754641306103,2025-08-08 13:51:46.103192+05:30,30,8
252,998127,507,511,1754641306203,2025-08-08 13:51:46.203934+05:30,30,8
253,998227,506,511,1754641306304,2025-08-08 13:51:46.304828+05:30,30,8
254,998329,505,511,1754641306405,2025-08-08 13:51:46.405558+05:30,30,8
