Start,Border,End,Score
1752038501242,1752038506284,1752038511326,3.5127116903222713
1752038506284,1752038511326,1752038516368,2.4808103227427334
1752038511326,1752038516368,1752038521410,6.032448992810243
1752038516368,1752038521410,1752038526451,1.3395641642387976
1752038521410,1752038526451,1752038531493,0.607581138960909
1752038526451,1752038531493,1752038536535,0.005844672991527522
1752038531493,1752038536535,1752038541577,0.0069755046997948544
1752038536535,1752038541577,1752038546618,0.16573091513289345
1752038541577,1752038546618,1752038551660,0.005005984065440894
1752038546618,1752038551660,1752038556702,0.24478334618164233
1752038551660,1752038556702,1752038561744,0.5611379670997194
1752038556702,1752038561744,1752038566786,0.19339734408116316
1752038561744,1752038566786,1752038571827,0.8953059393618733
1752038566786,1752038571827,1752038576869,0.006633396384144452
1752038571827,1752038576869,1752038581911,0.01177658398453768
1752038576869,1752038581911,1752038586953,0.020313479165625647
1752038581911,1752038586953,1752038591995,0.0049343131376399785
1752038586953,1752038591995,1752038597037,5.7780455975375844e-08
1752038591995,1752038597037,1752038602078,0.013259839865951029
1752038597037,1752038602078,1752038607120,1.891264595754727e-05
1752038602078,1752038607120,1752038612161,2.867916823113485
1752038607120,1752038612161,1752038617203,5.938196655725129
1752038612161,1752038617203,1752038622245,2.420416152298378
1752038617203,1752038622245,1752038627287,2.7737620891780144
1752038622245,1752038627287,1752038632329,5.081917003930519
1752038627287,1752038632329,1752038637370,5.081124227968014
1752038632329,1752038637370,1752038642413,3.281097043127013
1752038637370,1752038642413,1752038647454,0.05825265353506598
1752038642413,1752038647454,1752038652496,1.7565280104392806
1752038647454,1752038652496,1752038657537,0.8398124938703694
1752038652496,1752038657537,1752038662579,0.4794227998298392
1752038657537,1752038662579,1752038667621,0.9653581613196816
1752038662579,1752038667621,1752038672663,0.0540224674176219
1752038667621,1752038672663,1752038677705,0.023912673205665036
1752038672663,1752038677705,1752038682746,0.010352405897048722
1752038677705,1752038682746,1752038687788,0.02808259158196441
1752038682746,1752038687788,1752038692830,0.2873221911796281
1752038687788,1752038692830,1752038697872,1.9379660047453264
1752038692830,1752038697872,1752038702914,2.3037059531720754
1752038697872,1752038702914,1752038707956,1.1036286726724047
